ChainId,Name,Symbol,Decimals,TokenAddress
1,Sloth,SLT,0,0x1Ebd38f5E21b3a39dD3eDD8c13CF8c69B064C27F
1,The BET,BET,18,0x9eb6299e4Bb6669E42cb295a254c8492F67AE2C6
1,StopAI,SAI,18,0xd96f7c07D90110FC25577788d9A6147fAd092EA3
1,Wickens,WCK,0,0x61c0f01a77dbB995346e3e508575670Ec49b5615
1,Kennel,KENNEL,18,0x25d4e7fe624FcC6E7F0b52D142F40c9ACEcF039a
1,Based Shiba,BSHIB,9,0xFB31778436019dBB4076D3ec8C8d5b4965713e61
1,Rocket Pool ETH,rETH,18,0xae78736Cd615f374D3085123A210448E74Fc6393
1,BTRFLY,BTRFLY,18,0xc55126051B22eBb829D00368f4B12Bde432de5Da
1,DEFINET,NET,18,0x77A9B858aA8417fd318ecEE01C1d6D9fEF31A71F
1,DEXTF Token,DEXTF,18,0x5F64Ab1544D28732F0A24F4713c2C8ec0dA089f0
1,AllianceBlock Nexera Token,NXRA,18,0x644192291cc835A93d6330b24EA5f5FEdD0eEF9e
1,TrustSwap Token,SWAP,18,0xCC4304A31d09258b0029eA7FE63d032f52e44EFe
1,Fantom Token,FTM,18,0x4E15361FD6b4BB609Fa63C81A2be19d873717870
1,Badger,BADGER,18,0x3472A5A71965499acd81997a54BBA8D852C6E53d
1,NuNet Utility Token,NTX,6,0xF0d33BeDa4d734C72684b5f9abBEbf715D0a7935
1,Ocean Token,OCEAN,18,0x967da4048cD07aB37855c090aAF366e4ce1b9F48
1,Snerf,snerf,0,0x66B8828485bBCC74CD8EC1c9f7648Fd906B34170
1,Threshold Network Token,T,18,0xCdF7028ceAB81fA0C6971208e83fa7872994beE5
1,Enjin Coin,ENJ,18,0xF629cBd94d3791C9250152BD8dfBDF380E2a3B9c
1,Hoichi 芳一,HOICHI,18,0xC4EE0aA2d993ca7C9263eCFa26c6f7e13009d2b6
1,TwitFi Token,TWT,9,0xd4Df22556e07148e591B4c7b4f555a17188CF5cF
1,LiveArt,LiveArt.Member,0,0xBdCaAB0d1392A391AC91C477fe18a85cBe855aBa
1,Ordinal Doge,oDOGE,18,0x796a4503b444A71b331c9556bEF0815237ddEaBC
1,KOK Coin,KOK,18,0x9B9647431632AF44be02ddd22477Ed94d14AacAa
1,NvirWorld,Nvir,18,0x9d71CE49ab8A0E6D2a1e7BFB89374C9392FD6804
1,SewerPass,SEWER,0,0x764AeebcF425d56800eF2c84F2578689415a2DAa
1,yearn.finance,YFI,18,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e
1,ParaSpace Compound APE,cAPE,18,0xC5c9fB6223A989208Df27dCEE33fC59ff5c26fFF
1,Numeraire,NMR,18,0x1776e1F26f98b1A5dF9cD347953a26dd3Cb46671
1,McRib,McRib,9,0xc41e7285Be4BdC74e6AAfF1cdC5184939ef63CAB
1,SaitaRealtyV2,SRLTY,9,0x142a774E8b52550E88E196CedD7A5835acB646D0
1,Shibarium Marketplace,SHELTER,8,0xD004f68F42fe48D254b0325e91B3629bFcfe9f08
1,MCSHIBS,SHIBS,18,0x1599E085736d81d5Fc9648D6AA13a8F2AE44D69F
1,Paxos Gold,PAXG,18,0x45804880De22913dAFE09f4980848ECE6EcbAf78
1,McPepy teh Wife,MCPEPY,9,0x173B3ad680D827796046797723C4249AfB334263
1,DeFiApes,DEFIAPES,0,0x3C6FBc94288f5af5201085948DdB18aDED2E6879
1,Yamanote-Sen,YMNT,9,0xe59A1fe295f940E5226DcF6411Ef2Bdf3089C254
1,McFrog,Frog,9,0x62865B83aE2afEE557dd60215DE2c7B98a7ed1e2
1,Ordinals Finance,OFI,9,0x419E35E3515c2fDB652C898bF7A0B21FB20497dC
1,Nexo,NEXO,18,0xB62132e35a6c13ee1EE0f84dC5d40bad8d815206
1,BDPToken,BDP,18,0xf3dcbc6D72a4E1892f7917b7C43b74131Df8480e
1,FortuneBunny,FB,0,0xDdEeb85718De691260FBDD7a5f104fC209f0B974
1,Kubz Relic,Kubz Relic,0,0xE1B81CD6A494CBCA06a8e2055A62C2Cf0fa5A8ac
1,SIDUS,SIDUS,18,0x549020a9Cb845220D66d3E9c6D9F9eF61C981102
1,OPEN EDITION BY KEVIN ABOSCH,OEKA,0,0xd04FF5E94340A2e1d913c3728a12B210C5D5Bb2D
1,Otherdeed,OTHR,0,0x34d85c9CDeB23FA97cb08333b511ac86E1C4E258
1,VAIOT Token,VAI,18,0xD13cfD3133239a3c73a9E535A5c4DadEE36b395c
1,Alchemy,ACH,8,0xEd04915c23f00A313a544955524EB7DBD823143d
1,Dogelon,ELON,18,0x761D38e5ddf6ccf6Cf7c55759d5210750B5D60F3
1,WoofWork.io,WOOF,18,0x6BC08509B36A98E829dFfAD49Fde5e412645d0a3
1,Doodles,DOODLE,0,0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e
1,Ushi,USHI,18,0x6Dca182ac5E3f99985bC4Ee0f726d6472aB1ec55
1,Curve.fi DAI/USDC/USDT,3Crv,18,0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490
1,SushiToken,SUSHI,18,0x6B3595068778DD592e39A122f4f5a5cF09C90fE2
1,BasedAI,BAI,9,0xb7d59805C72Eeedd63763f712078373EAcb923aA
1,IROIRO,IROIRO,0,0x0BdA9d7185A9885eCb1770d4793389bE5DA2e576
1,PCKR DRONES,PCKR-DRNS,0,0x25720B5936043ed7A322ac63459e65eCf4cDF501
1,Dione,Dione,9,0x89B69F2d1adffA9A253d40840B6Baa7fC903D697
1,ARCH,ARCH,18,0x73C69d24ad28e2d43D03CBf35F79fE26EBDE1011
1,JasmyCoin,JASMY,18,0x7420B4b9a0110cdC71fB720908340C03F9Bc03EC
1,Byte AI,BYTE,9,0x5e3800D979fd5836BFf29E8C140A2160bcDd747d
1,CBSWAP.IO,COINS,18,0x591d707856D52C9E30714ef807302b76eF6094c3
1,Shit Eating Clowns,SEC,18,0xE2830C27334613A3669EaAF97534f3D8A7414352
1,GreenMetaverseToken,GMT,8,0xe3c408BD53c31C085a1746AF401A4042954ff740
1,nUSD,nUSD,18,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F
1,McInu,McInu,8,0x48B3CD2DdB6F65334dcaa0740A92a24f60ccBde8
1,Bear Inu,BEAR,18,0x17837004eA685690b32dbEaD02a274Ec4333A26a
1,Based AI,BasedAI,9,0x578d62bFAd23eA5fAA7fbd9A8Ff0fE149B09bE5a
1,Alchemix,ALCX,18,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF
1,ShibElon,SHIBELON,9,0x4c584CD339bdDE73B7F5210486dd8bbeEE3fDe6d
1,0xCasino,XCAS,18,0x6e1a77D9B50832adc6f2029370f7F7B13C58Df51
1,Shiba Predator,QOM,18,0xa71d0588EAf47f12B13cF8eC750430d21DF04974
1,Liquidity Incentive Token,LIT,18,0xfd0205066521550D7d7AB19DA8F72bb004b4C341
1,Safe{Core} Introduced,SAFECORE,0,0x16b2F56890583a38deF7BC3372e170ec369fB2cB
1,Seekers,SEEKERS,0,0xaAF03a65CbD8f01b512Cd8d530a675b3963dE255
1,CRO,CRO,8,0xA0b73E1Ff0B80914AB6fe0444E65848C4C34450b
1,X2Y2Token,X2Y2,18,0x1E4EDE388cbc9F4b5c79681B7f94d36a11ABEBC9
1,Ankr Network,ANKR,18,0x8290333ceF9e6D528dD5618Fb97a76f268f3EDD4
1,Icosa,ICSA,9,0xfc4913214444aF5c715cc9F7b52655e788A569ed
1,eSOV,eSOV,18,0xbdab72602e9AD40FC6a6852CAf43258113B8F7a5
1,McFloki,McFloki,9,0x9e5C08eDa223377561cD83E75F4c5C43452FbD80
1,ZKSpider,ZKSpider,9,0x86CEf304c773a9142C2CF1E5654b4A17606CF694
1,MERGE,VVMRG,0,0xbD8451d2D5Fb88469A764B05C1e0b623C5106145
1,Azuki,AZUKI,0,0xED5AF388653567Af2F388E6224dC7C4b3241C544
1,Solidly,SOLID,18,0x777172D858dC1599914a1C4c6c9fC48c99a60990
1,LoopringCoin V2,LRC,18,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD
1,HORD Token,HORD,18,0x43A96962254855F16b925556f9e97BE436A43448
1,USDC,anyUSDC,6,0x7EA2be2df7BA6E54B1A9C70676f668455E329d29
1,10KTF,10KTF,0,0x0Cfb5d82BE2b949e8fa73A656dF91821E2aD99FD
1,Tether USD,anyUSDT,6,0x22648C12acD87912EA1710357B1302c6a4154Ebc
1,LUSD Stablecoin,LUSD,18,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0
1,Axie Infinity Shard,AXS,18,0xBB0E17EF65F82Ab018d8EDd776e8DD940327B28b
1,DOGE KILLER,LEASH,18,0x27C70Cd1946795B66be9d954418546998b546634
1,BITRING,BITRING,0,0x36DCEBE5537C23D59945560E216C8aE902d0cD09
1,McMemes,MEMES,9,0x3b8b63b0dF38f1bB9D2b3848aAcC4B0020a1E79b
1,0N1 Force,0N1,0,0x3bf2922f4520a8BA0c2eFC3D2a1539678DaD5e9D
1,Imaginary Ones,IO,0,0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA
1,hiBAYC,hiBAYC,18,0x83031984B45553070a088273f341BfF7fB4f2F46
1,Zks,ZKS,18,0xe4815AE53B124e7263F08dcDBBB757d41Ed658c6
1,ParentApeGeneLab,PAGL,0,0x8F629E9a2f77B08d28A64f52Bd88bB36732527d3
1,Compound,COMP,18,0xc00e94Cb662C3520282E6f5717214004A7f26888
1,Tap,XTP,18,0x6368e1E18c4C419DDFC608A0BEd1ccb87b9250fc
